# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.007556515113031,0.4731817796968947,19.990354711684024,0,3.0,-1.9816186891916954,180.0,0.0,0.0
 0.06500763995390714,2.0135135820167647,0.4753488391296269,19.990354711684024,0.19502291986172143,3.0,-1.9816186891916954,180.0,-26.431658015720906,0.0
 0.09268132567864784,2.019693019862841,0.47750787161798514,19.25889331457314,0.2780439770359435,2.9999999999999996,-1.7877155084250125,180.0,-31.334175658226584,0.0
 0.11441526501739156,2.0260927444246897,0.47965886647362826,18.5778782415877,0.3432457950521747,2.9999999999999996,-1.6181308546649202,180.0,-33.92175678042084,0.0
 0.13314781850163213,2.0327106714757437,0.4818018130082146,17.94243711841907,0.3994434555048964,3.000000000000002,-1.4692417542801326,180.0,-35.246296557475986,0.0
 0.15000501186378684,2.0395447167894343,0.483936700533403,17.34828348204985,0.45001503559136047,2.999999999999995,-1.3380388434466002,180.0,-35.79019358626696,0.0
 0.1655581211437383,2.046592796139193,0.486063518360852,16.79163469005202,0.4966743634312149,3.0000000000000036,-1.2220117817363232,180.0,-35.82486178270968,0.0
 0.18014274300020808,2.0538528252984514,0.48818225580222024,16.269142627890904,0.5404282290006243,3.0000000000000018,-1.119057698252964,180.0,-35.51890192590374,2.0547372268274534e-12
 0.1939750272744788,2.0613227200406405,0.49029290216916627,15.777835079341864,0.5819250818234364,2.999999999999998,-1.027407793268002,180.00000000000003,-34.9832490431575,-2.14855261946635e-12
 0.20720333230778223,2.069000396139193,0.4923954467733488,15.315065989942955,0.6216099969233466,2.999999999999994,-0.9455682817842117,180.0,-34.293611274008775,0.0
 0.21993435756564492,2.0768837693675395,0.49448987892642643,14.878473158630225,0.6598030726969346,2.9999999999999956,-0.8722726969128816,180.0,-33.50292349471171,0.0
 0.23224764158480848,2.084970755499112,0.4965761879400578,14.465942146167531,0.6967429247544253,3.000000000000002,-0.8064432186686215,180.0,-32.64880136471017,0.0
 0.24420418306838276,2.0932592703073416,0.49865436312590145,14.075575398261398,0.7326125492051482,3.0,-0.7471591983466119,180.0,-31.75825219831679,0.0
 0.2558518531741488,2.10174722956566,0.5007243937956162,13.705665753519682,0.7675555595224464,3.0,-0.6936314385908847,180.0,-30.850775519479363,2.4981524196125606e-12
 0.26722894498298727,2.110432549047499,0.5027862692608605,13.354673648060702,0.8016868349489616,2.999999999999995,-0.6451810961464388,180.00000000000003,-29.94046837162945,-2.5518606817204075e-12
 0.2783665864827743,2.11931314452629,0.5048399788332929,13.02120744500178,0.8350997594483227,3.0,-0.6012223093506727,180.0,-29.037490292937996,0.0
 0.2892904311101495,2.1283869317754647,0.5068855118245722,12.70400641267281,0.8678712933304485,3.000000000000015,-0.5612478394108552,180.0,-28.14910288293983,0.0
 0.3000218728796495,2.137651826568454,0.508922857546357,12.401925954220877,0.9000656186389484,2.9999999999999947,-0.5248171585970829,180.0,-27.280419320320426,0.0
 0.31057893927626135,2.1471057446786905,0.5109520053103058,12.11392475612884,0.9317368178287839,2.9999999999999947,-0.49154653266566045,180.0,-26.434951849664195,-2.733376857068188e-12
 0.3209769600822504,2.156746601879605,0.5129729444280774,11.839053576790713,0.9629308802467511,3.0,-0.4611007346892524,179.99999999999997,-25.615016025843907,2.7722771771247895e-12
 0.3312290768853332,2.166572313944629,0.5149856642113303,11.576445440580923,0.9936872306559994,2.9999999999999893,-0.4331860982072928,180.0,-24.822031856808433,0.0
 0.34134663705662804,2.1765807966471944,0.5169901539717231,11.325307039695867,1.024039911169884,3.0,-0.40754467346429696,180.0,-24.05674979641307,0.0
 0.3513395024766055,2.1867699657607322,0.5189864030209146,11.084911176538242,1.0540185074298163,3.0,-0.38394929593018134,180.0,-23.319421354947902,0.0
 0.3612162943627784,2.197137737058675,0.5209744006705632,10.854590104909445,1.083648883088335,3.0000000000000058,-0.36219941166295416,180.0,-22.609928509237495,2.9095874920776713e-12
 0.37098458952757124,2.2076820263144534,0.5229541362323277,10.633729649576347,1.1129537685827136,3.0,-0.3421175316988667,180.00000000000003,-21.927882222642967,-2.9402306583854605e-12
 0.3806510792464462,2.2184007493015,0.5249255990178665,10.42176400151447,1.1419532377393384,3.0,-0.32354621297672154,180.0,-21.272697628204302,-2.9696832739002563e-12
 0.3902216990092319,2.2292918217932445,0.5268887783388385,10.218171101186213,1.1706650970276957,3.0000000000000115,-0.3063454790431209,179.99999999999997,-20.64365149069976,0.0
 0.39970173535743325,2.2403531595631203,0.5288436635069022,10.022468534694777,1.1991052060722998,3.0000000000000058,-0.29039061122725773,179.99999999999997,-20.03992612476654,6.050919182141656e-12
 0.4090959145143079,2.251582678384558,0.5307902438337162,9.834209878388188,1.2272877435429235,2.9999999999999822,-0.2755702509298553,180.00000000000003,-19.460642935011553,-3.051975355592032e-12
 0.4184084764189536,2.262978294030989,0.5327285086309391,9.652981436351686,1.2552254292568608,3.0000000000000058,-0.2617847659112295,180.0,-18.904887954993296,0.0
 0.4276432369633227,2.2745379222758455,0.5346584472102297,9.478399322969198,1.282929710889968,3.000000000000006,-0.2489448396017828,180.0,-18.371731217350558,0.0
 0.4368036406219541,2.2862594788925588,0.5365800488832464,9.310106849110387,1.3104109218658622,2.999999999999994,-0.23697025000249816,180.0,-17.860241343608234,0.0
